show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;imdb_rating;imdb_vote
13;Movie;Once Upon a Time in America;Sergio Leone;Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden, Darlanne Fluegel, Larry Rapp, Dutch Miller, Robert Harper, Richard Bright, Gerard Murphy, Amy Ryder, Olga Karlatos, Mario Brega, Ray Dittrich, Frank Gio, Karen Shallo, Angelo Florio, Scott Tiler, Rusty Jacobs, Brian Bloom, Adrian Curran, Mike Monetti, Noah Moazezi, James Russo, Frankie Caserta, Joey Marzella, Clem Caserta, Frank Sisto, Jerry Strivelli, Julie Cohen, Marvin Scott, Mike Gendel, Paul Herman, Ann Neville, Joey Faye, Linda Ipanema, Tandy Cronyn, Richard Zobel, Baxter Harris, Arnon Milchan, Bruno Iannone, Marty Licata, Marcia Jean Kurtz, Estelle Harris, Richard Foronjy, Gerritt Debeer, Jennifer Connelly, Alexander Godfrey, Cliff Cudney, Paul Farentino, Bruce Bahrenburg, Mort Freeman, Sandra Solberg, Jay Zeely, Massimo Liti, Louise Fletcher, Terry Angus, Greg Anthony, Salvatore Billa, Bruno Bilotta, Matteo Cafiso, Nelson Camp, Scott Coffey, Mark Frazer, Nunzio Giuliani, Dario Iori, Ole Jorgensen, Pui Fan Lee, Francesca Leone, Chuck Low, Ron Nummi, Ryan Paris, Harry Peerce, Nicola Roberto, Gianni Sanjust, Alex Serra, Susan Spafford;Italy, United States;01/09/2021;1984;R;229 min;Crime, Drama;Director Sergio Leones sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.;8,4;328250
14;Movie;Osmosis Jones;Bobby Farrelly, Peter Farrelly;Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Kenny Olson, Jason Krause, Joe C., Stefanie Eulinberg, Jimmie Bones, Uncle Kracker, Jonathan Adams, Carlos Alazraqui, Keith Anthony, Eddie Barth, Sally Ann Brooks, Rodger Bumpass, Michael Carven, Paul Christie, Janis Dardaris, Wendy Dillon, Antonio Fargas, Eddie Frierson, Donald Fullilove, Jackie Gonneau, Shannon Gregory, Rif Hutton, Richard Steven Horvitz, Art Kimbro, Joyce Kurtz, Anne Lockhart, Sherry Lynn, Danny Mann, Mickie McGowan, John Melendez, H?ctor Mercado, Paul Pape, Marilyn Pasekoff, Chris Phillips, Lynne Redding, Al Rodrigo, Herschel Sparber, Doug Stone, Steve Susskind, Keri Tombazian, Paul Tuerpe, Robert Wisdom, Bill Murray, Molly Shannon, Chris Elliott, Elena Franklin, Danny Murphy, Jack McCullough, Kathy Wege, Will Dunn, Jackie Flynn, Kelsey Jordan, A.B. Farrelly, Jesse Peter, John-Eliot Jordan, Nancy Byers, Kevin J. Flynn, Sean Gildea, Kathryn Frick, Nikki Tyler-Flynn, Elizabeth Jordan, Zen Gesner, Marc Hyman, Zak Penn, Bob OBrien, Tom Beachene, Diane Conrad, Judy Conrad, Bob Fennessy, John Britten, Katie Britten, Marlene Malone, Grady OConnor, Barbara OConnor, Jacqueline Wentzell, Morgan Wentzell, Jamie Heres, Jimmy Heres, Thomas Jordan, Ruth Meyer, Mandy Marsh, Tommy Barbieri, Allison Barbieri, Erica Johnson, Sydney J. Bartholomew Jr., Bill Beauchene, Buzz Dunn, Laura Dunn, Krista-Jean Forand, Kena Flynn, Christina Kacmar, Diana ODonnell, Dick Silva, Allison Kacmar, Nicole Brathwaite, Emily ODay, Brianna Cabral, Catherine Dunphy, Chandler Vuilleumier, Bill Wade, Bo Cleary, Bruce McIntyre, Colleen ODonnell, Maryjane Foy, Jo Ann Nicewicz, Jillian Nicewicz, Docky, Heidi Hetzel, Patricia Guiggey, Rachael Kasner, George Kouri, Joe Murphy, Dick Rubin, Amy Suhay, Brian Mone, Sean Fitzgerald, Beth Jordan, Mattie Ostiguy, Grace Costa, Maura OBrien, John J. Burke, Kathy Farrelly, Shawn Fogarty, Camden Munson, David Ossman, Joel Silver, Ben Stein, James Arnold Taylor, Ben Urann, Jillian Wheeler;United States;01/09/2021;2001;PG;95 min;Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi;Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man whos the host to various organisms.;6,3;34138
15;Movie;Rhyme & Reason;Peter Spirer;B-Real, Kurtis Blow, Da Brat, Chuck D, Sean Diddy Combs, Sen D.O.G., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Grandmaster Caz, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Master P, Method Man, Keith Murray, Nas, The Notorious B.I.G., Q-Tip, Raekwon, Rampage, Redman, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave, Too $hort;United States;01/09/2021;1997;R;89 min;Documentary, Music;The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.;7,4;856
16;Movie;School of Rock;Richard Linklater;Jack Black, Adam Pascal, Lucas Papaelias, Chris Stack, Sarah Silverman, Mike White, Lucas Babin, Joan Cusack, Jordan-Claire Green, Veronica Afflerbach, Miranda Cosgrove, Joey Gaydos Jr., Robert Tsai, Angelo Massagli, Kevin Alexander Clark, Maryam Hassan, Caitlin Hale, Cole Hawkins, Brian Falduto, James Hosey, Aleisha Allen, Z Infante, Rivkah Reyes, Jaclyn Neidenthal, Suzzanne Douglas, Eron Otcasek, Carlos Velazquez, Kimberly Grigsby, Lee Wilkof, Kate McGregor-Stewart, Wally Dunn, Tim Hopper, Michael Dominguez-Rudolph, Crash Cortez, Nicky Katt, John Highsmith, Heather Goldenhersh, Timothy Speed Levitch, Scott Graham, Sharon Washington, Kim Brockington, Marty Murphy, Kathleen McNenny, Joanna Adler, Robert Lin, Barry Shurchin, MacIntyre Dixon, Amy Sedaris, Mary Fortune, Mandy Siegfried, Elle Key, Carlos J. Da Silva, Ian OMalley, Chris Line, Kyle Meaney, Lauren Adler, Myriam Blanckaert, Kelly Anne Burns, Leanne Cabrera, Catherine A. Callahan, Brooke Campbell, Cedric Cannon, Mike Clemente, Anivile Daniel, Jane DeNoble, Paul Evans, Erin Glass, Riley G. Matthews Jr., Jada Montemarano, The Mooney Suzuki, Mateo Moreno, Lian Moy, Karina Nazarov, Ryan OConnor, Scott Ross, Caileigh Scott, Johnny Sullivan, Jamie Vergan, Joe Wachowski, Frank Whaley, Angus Young;United States, Germany;01/09/2021;2003;PG-13;110 min;Comedy, Music;Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock n roll.;7,1;288994
17;Movie;The Matrix Revolutions;Lana Wachowski, Lilly Wachowski;Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan, Francine Bell, Monica Bellucci, Rachel Blackman, Henry Blasingame, Ian Bliss, David Bowers, Zeke Castelli, Collin Chou, Essie Davis, Laurence Fishburne, Nona Gaye, Dion Horstmans, Lachy Hulme, Christopher Kirby, Peter Lamb, Nathaniel Lees, Harry Lennix, Robert Mammone, Joe Manning, Maurice Morgan, Carrie-Anne Moss, Tharini Mudaliar, Rene Naufahu, Robyn Nevin, Genevieve OReilly, Harold Perrineau, Jada Pinkett Smith, Kittrick Redmond, Keanu Reeves, Rupert Reid, Kevin Michael Richardson, David Roberts, Bruce Spence, Richard Sydenham, Che Timmins, Gina Torres, Clayton Watson, Hugo Weaving, Cornel West, Bernard White, Lambert Wilson, Anthony Brandon Wong, Anthony Zerbe, Craig Walker;United States;01/11/2019;2003;R;129 min;Action, Sci-Fi;The final installment in the Matrix trilogy finds an unconscious Neo trapped in a subway station in a zone between the Matrix and the machine world.;6,8;466400
18;Movie;Air Force One;Peter Schnall;Robert D. Barr, Barbara Bush, George Bush, George W. Bush, Michael Carroll, Jimmy Carter, Rosalynn Carter, Winston Churchill, Bill Clinton, Dwight D. Eisenhower, Mamie Eisenhower, Betty Ford, Gerald Ford, Paul W. Germain, Lady Bird Johnson, Lyndon B. Johnson, Jacqueline Kennedy, John F. Kennedy, Tim Kerwin, Joe Lockhart, Pat Nixon, Richard Nixon, Nancy Reagan, Ronald Reagan, Franklin D. Roosevelt, Lee Simmons, Harry S. Truman, Jack Valenti;United States;01/07/2021;1997;R;125 min;Documentary, History;When terrorists hijack Air Force One with the president and his family on board, the commander-in-chief takes matters into his own well-trained hands.;7;152
19;Movie;The Piano;Jane Campion;Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin, Kerry Walker, Genevi?ve Lemon, Tungia Baker, Ian Mune, Peter Dennett, Te Whatanui Skipwith, Pete Smith, Bruce Allpress, Cliff Curtis, Carla Rupuha, Mahina Tunui, Hori Ahipene, Gordon Hatfield, Mere Boynton, Kirsten Batley, Tania Burney, Annie Edwards, Harina Haare, Christina Harimate, Steve Kanuta, P.J. Karauria, Sonny Kirikiri, Alain Makiha, Greg Mayor, Mika X., Guy Moana, Joseph Otimi, Glynis Paraha, Riki Pickering, Eru Potaka Dewes, Liane Rangi Henry, Huihana Rewa, Tamati Rice, Paora Sharples, George Smallman, Kereama Teua, Poamo Tuialii, Susan Tuialii, Kahumanu Waake, Lawrence Wharerau, Eddie Campbell, Roger Goodburn, Stephen Hall, Greg Johnson, Wayne McGoram, Jon Brazier, Stephen Papps, Nicola Baigent, Ruby Codner, Karen Colston, Verity George, Julie Steele, Timothy Raby, Jon Sperry, Isobel Dryburgh, Claire Lourie, Rose McIver, Amber Main, Rachael Main, Sean Abraham, Tomas Dryburgh, Simon Knight-Jones, Julian Lee, Daniel Lunn, Barbara Grover, Arthur Ranford, Rob Ellis, Terrence Garbolino, William Matthew, Nancy Flyger, George Boyle, Jason Aranui, Thomas Crowe, Shane Howell, Sam Ingley, Lance Kahukiwa, Graham Kereama Barrett, Wayne Kingi, Lucas Puhi Thompson, Peter Rangitaawa, Joseph Samuel, Thomas Searancke, Philip Taiaho Heke, George Te Huia, Alfred Tiaki Hotu, Flynn the Dog;New Zealand, Australia, France;15/08/2021;1993;R;121 min;Drama, Music, Romance;With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her.;7,6;82126
20;TV Show;Sherlock;Graham Theakston;James DArcy, Roger Morlidge, Gabrielle Anwar, Vincent DOnofrio, Nicholas Gecks, Peter-Hugo Daly, Richard E. Grant, Struan Rodger, Mihai Bisericanu, Sandu Mihai Gruia, Constantin Barbulescu, Doru Dumitrescu, Constantin Vasilescu, Corneliu Tigancu, Fritha Goodey, Ioana Abur, Natalie Ester, Oana Ardelean, Cristina Teodorescu, Andreea Balan, Mihai Dinvale, Stefan-Dominic Voronca, Valentin Popescu, Radu Captari, Anca Androne, Adrian Huluban, Cornel Ragea, Vasile Albinet, Adrian Pavlovschi;United States, Romania, United Kingdom;15/05/2017;2017;TV-14;4 Seasons;Action, Adventure, Crime, Drama, Mystery, Thriller;In this updated take on Sir Arthur Conan Doyles beloved mystery tales, the eccentric sleuth prowls the streets of modern London in search of clues.;5,9;1046
21;TV Show;Star Trek: The Next Generation;;Patrick Stewart, Jonathan Frakes, LeVar Burton, Marina Sirtis, Brent Spiner, Michael Dorn, Gates McFadden, Majel Barrett, Wil Wheaton, Colm Meaney, James G. Becker, Denise Crosby, Whoopi Goldberg, Diana Muldaur, Patti Yasutake, Nora Leonhardt, Dennis Madalone, Michelle Forbes, Rosalind Chao, John de Lancie, Brian Bonsall, Dwight Schultz, Robert OReilly, Sheila Franklin, Carel Struycken, April Grace, Natalija Nogulich, Lanei Chapman, Andreas Katsulas, Michael Rider, Armin Shimerman, Marc Alaimo, Jerry Hardin, Brian Cousins, Carolyn Seymour, Suzie Plakson, James Cromwell, Tony Todd, John Durbin, Clyde Kusatsu, Barbara March, Peter Marx, Gwynyth Walsh, Norman Large, Pamela Winslow Kashani, Ken Thorley, Eric Menyuk, Rickey DShon Collins, Rhonda Aldrich, Brad Zerbst;United States;02/04/2018;1993;TV-PG;7 Seasons;Action, Adventure, Mystery, Sci-Fi;Decades after the adventures of the original Enterprise crew, Capt. Jean-Luc Picard leads a new Enterprise on missions to explore unknown worlds.;8,6;108089
22;Movie;Magnolia;Paul Thomas Anderson;Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn, Rod McLachlan, Allan Graf, Patton Oswalt, Raymond Big Guy Gonzales, Brad Hunt, Jim Meskimen, Chris OHara, Clement Blake, Frank Elmore, John Kraft Seitz, Cory Buck, Tom Cruise, Tim Soronen, Jim Ortlieb, Melora Walters, Philip Baker Hall, Thomas Jane, Holly Houston, Melinda Dillon, Jeremy Blackman, Michael Bowen, Benjamin Niedens, William H. Macy, Veronica Hart, Missy Spell Tanner, James Kiriyama-Lem, Jason Jake Cross, Charlie Scott, Philip Seymour Hoffman, Jason Robards, Juan Medrano, Julianne Moore, John C. Reilly, John Pritchett, Cleo King, Don McManus, Michael Shamus Wiles, April Grace, Jason Andrews, John S. Davies, Kevin Breznahan, Miguel P?rez, Alfred Molina, David Masuda, Neil Pepe, Lionel Mark Smith, Annette Helde, Emmanuel Johnson, Lynne Lerner, Felicity Huffman, Scott Burkett, Bob Brewer, Julie Brewer, Nancy Marston, Maurey Marston, Jamala Gaither, Danny Wells, Amy Brown, Eileen Ryan, Meagen Fay, Patricia Forte, Luis Guzm˜n, Patrick Warren, Orlando Jones, Virginia Pereira, Craig Kvinsland, Patricia Scanlon, Henry Gibson, Natalie Marston, Bobby Brewer, Clark Gregg, Ricky Jay, Art Frankel, Matt Gerald, Guillermo Melgarejo, Paul F. Tompkins, Mary Lynn Rajskub, Jim Beaver, Ezra Buzzington, Denise Woolfork, Michael Murphy, New World Harmonica Trio, Robert Downey Sr., William Mapother, Larry Ballard, Brett Higgins, Brian Higgins, Michael Lee Phillips Jr., Lillian Adams, Steven Bush, Mike Massa, Dale Gibson, Scott Alan Smith, Paul Thomas Anderson, Bruno Angelico, Robert Bella, Greg Bronson, Douglas Busby, Christina Eliason, Bruce Gregory, Thomas Griffin, Phil Hawn, Ted Hollis, Brian Kehew, Michael Laren, Aimee Mann, Miriam Margolyes, Paul McMichael, Arnold Montey, Tom Ohmer, Lynne Oropeza, Colleen Pelletier, Dayna Price, Herb Santos Jr., Tom Tangen, Sean Wilson, Junichi Yanagita;United States;01/08/2021;1999;R;189 min;Drama;Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each others lives on a random day in California.;8;299502
23;Movie;Major Payne;Nick Castle;Damon Wayans, Michael Ironside, Bam Bam Bigelow, Joseph Blaire, Orlando Brown, Peyton Chesson-Fohl, Stephen Coleman, Mark Conway, David DeHart, Joshua Todd Diveley, Robert Faraoni Jr., Michael Gabel, Albert Hall, William Hickey, Ross Bickell, R.J. Knoll, Andrew Leeds, Dean Lorey, Mark W. Madison, Brad Martin, Steven Martini, Chris Owen, Karyn Parsons, Seymour Swan, Leonard L. Thomas, Hechter Ubarry, Carolyn Walker, Damien Dante Wayans, R. Stephen Wiles, Chris Williams, Tommy Wiles, Al Cerullo, John Louis Fischer, P. Rodney Barnes, Curtis Bush, Shannon Fisher, Jeff McBath, Brian McTamaney, Robert Shepherd, Chax Stern;United States;01/08/2021;1995;PG-13;97 min;Adventure, Comedy, Family;A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition.;6,3;33817
